Designator,Footprint,Quantity,Value,LCSC Part #
"J101, J103",PinHeader_1x35_P2.54mm_Vertical,2,DS1021-1x35SF11-B,C7430391
J102,CONN-SMD_70P-P0.40_HC-PBB40C-70DS-0.4V-3.0-02,1,HC-PBB40C-70DS-0.4V-2.0-02,C19089262
